component,alarm_id,alarm_name,severity,alarm_type,raise_or_clear,mnemonic_code,trap_oid,match_trap_name,description,impact_on_system,possible_causes,procedure,parameters
dc,0x09AF0009,hwPtpTimeSyncResume,Warning,equipmentAlarm,Clear,hwPtpTimeSyncFaulty,1.3.6.1.4.1.2011.5.25.187.5.4,hwPtpTimeSyncFaulty,"Time source traced status is normal. (hwPtpTimeSynchronizationStatus=[hwPtpTimeSynchronizationStatus]) In VS mode, this trap is supported only by the admin VS.",There is no impact on the system.,"The PTP function ran normally, and the device was synchronized to the clock source.",,hwPtpTimeSynchronizationStatus::Whether the device is in the synchronization or out-of-synchronization state. The values are as follows: unsynchronization(1). synchronization(2).
dc,0x00F1053F,hwEvpnQualifyBumTableRes,Major,qualityOfServiceAlarm,Clear,hwEvpnQualifyBumTableRes,1.3.6.1.4.1.2011.5.25.356.1.1.2.11,hwEvpnQualifyBumTableRes,"The number of EVPN qualify BUM resources returned to normal. (UpperLimit=[UpperLimit]) In VS mode, this trap is supported only by the admin VS.",The system will not be affected.,The number of EVPN qualify BUM resources returned to normal.,,UpperLimit::Upper limit of EVPN qualify BUM resources.
dc,0x08012215,hwFanMinorAlarm,Minor,equipmentAlarm,Clear,hwFanMinorAlarm,1.3.6.1.4.1.2011.5.25.219.2.6.10,hwFanMinorAlarm-146688,"The fan module recovered from the minor fault. (EntityPhysicalIndex=[EntityPhysicalIndex],EntPhysicalIndex=[EntPhysicalIndex],EntPhysicalName=[EntPhysicalName],EntityTrapFaultID=146688,EntityOperStatus=[EntityOperStatus],EntityTrapReasonDescr=The fan module recovered from the minor fault.) In VS mode, this trap is supported only by the admin VS.",Services are not affected.,The fan module recovered from the minor fault.,,EntityPhysicalIndex::Indicates the index of the physical entity. | EntPhysicalIndex::Indicates the index of the physical entity. | EntPhysicalName::Indicates the name of the physical entity. | EntityTrapFaultID::Indicates the error code. | EntityOperStatus::Indicates the status of the physical entity. | EntityTrapReasonDescr::Indicates the reason.
dc,0x00F1014D,isisThirdPartRouteBeDeletedByPurgeExact,Critical,communicationsAlarm,Clear,isisThirdPartRouteBeDeletedByPurgeExact,1.3.6.1.4.1.2011.5.25.24.2.4.28,hwIsisThirdPartRouteBeDeletedByPurgeExact,"IS-IS routes advertised by another device were not deleted. (SysInstance=[isisSysInstance], HostName=[hwIsisHostName], HostIpAddress=[hwIsisHostIpAddress], SystemID=[isisPduLspId], SysLevel=[isisSysLevelIndex])",The system will not be affected.,The IS-IS LSPs advertised by a third device are no longer purged.,,isisSysInstance::Specifies a process ID. | hwIsisHostName::Hostname of the faulty node | hwIsisHostIpAddress::IP address of the faulty node | isisPduLspId::System ID of the faulty node | isisSysLevelIndex::IS-IS level of the faulty node
dc,0x0001005C,hwMplsOamSF,Major,communicationsAlarm,Clear,hwMplsOamSF,1.3.6.1.4.1.2011.5.25.121.2.1.29,hwMplsOamSF,"The SD2 alarm received by the tunnel is cleared. (SessionTunnelId=[SessionTunnelId], LocalLspId=[LocalLspId], IngressLsrId=[IngressLsrId], EgressLsrId=[EgressLsrId], TunnelName=[TunnelName], SignalingProtocol=[SgnlPrtcl], SignalledTunnelName=[SignalledTunnelName])",This alarm has no adverse impacts on services.,"An alarm indicating that packet loss ratio of an MPLS tunnel on the local end exceeds the SD2 threshold has ever been generated, and the alarm is now cleared.",,SessionTunnelId::Tunnel ID | LocalLspId::Local LSP ID | IngressLsrId::ID of the ingress LSR | EgressLsrId::ID of the egress LSR | TunnelName::Tunnel name | SgnlPrtcl::Tunneling protocol | SignalledTunnelName::Tunnel alias.
dc,0x09AC2016,STATISTIC,Warning,qualityOfServiceAlarm,Raise,STATISTIC,1.3.6.1.4.1.2011.5.25.136.1.6.52,hwY1731StatisticClear,"The Y.1731 statistic value exceeded the upper limit value. (MdIndex=[MdIndex], MaIndex=[MaIndex], MepID=[MepID], Type=[Type], MAC=[MAC], Priority=[Priority], MdName=[MdName], MaName=[MaName], Value=[Value], UpperLimitThreshold=[UpperLimitThreshold], LowerLimitThreshold=[LowerLimitThreshold], ValueHigh=[ValueHigh], ValueLow=[ValueLow]) The Y.1731 performance statistic value exceeded the upper alarm threshold.",Services are not affected.,The Y.1731 statistic value exceeded the upper limit value.,"1. Check the Type field in the alarm information, and perform the following operations based on the value of the Type field: If the value of Type is 0, a one-way frame delay alarm is detected. Go to Step 2. If the value of Type is 1, a two-way frame delay alarm is detected. Go to Step 3. If the value of Type is 2, a one-way delay jitter alarm is detected. Go to Step 4. If the value of Type is 3, a two-way frame delay jitter alarm is detected. Go to Step 5. If the value of Type is 4, a near-end frame loss rate alarm in single-ended frame loss measurement is detected. Go to Step 6. If the value of Type is 5, a far-end frame loss rate alarm in single-ended frame loss measurement is detected. Go to Step 7. If the value of Type is 6, a near-end frame loss rate alarm in dual-ended frame loss measurement is detected. Go to Step 8. If the value of Type is 7, a far-end frame loss rate alarm in dual-ended frame loss measurement is detected. Go to Step 9. 2. Run the display y1731 threshold-info onedelay-threshold md <md-name> ma <ma-name> mep-id <mep-id> [ 8021p <8021p-value> ] command to check the values of UpperLimit and LowerLimit. Check whether the upper threshold is too small. If yes, run the delay-measure one-way delay-threshold mep <mep-id> upper-limit <upper-limit> lower-limit <lower-limit> [ 8021p <8021p-value> ] command to reconfigure the upper threshold. Go to Step 10. If no, go to Step 11. 3. Run the display y1731 threshold-info twodelay-threshold md <md-name> ma <ma-name> mep-id <mep-id> [ 8021p <8021p-value> ] command to check the values of UpperLimit and LowerLimit. Check whether the upper threshold is too small. If yes, run the delay-measure two-way delay-threshold mep <mep-id> upper-limit <upper-limit> lower-limit <lower-limit> [ 8021p <8021p-value> ] command to reconfigure the upper threshold. Go to Step 10. If no, go to Step 11. 4. Run the display y1731 threshold-info onedelay-variation md <md-name> ma <ma-name> mep-id <mep-id> [ 8021p <8021p-value> ] command to check the values of UpperLimit and LowerLimit. Check whether the upper threshold is too small. If yes, run the delay-measure one-way variation-threshold mep <mep-id> upper-limit <upper-limit> lower-limit <lower-limit> [ 8021p <8021p-value> ] command to reconfigure the upper threshold. Go to Step 10. If no, go to Step 11. 5. Run the display y1731 threshold-info twodelay-variation md <md-name> ma <ma-name> mep-id <mep-id> [ 8021p <8021p-value> ] command to check the values of UpperLimit and LowerLimit. Check whether the upper threshold is too small. If yes, run the delay-measure two-way variation-threshold mep <mep-id> upper-limit <upper-limit> lower-limit <lower-limit> [ 8021p <8021p-value> ] command to reconfigure the upper threshold. Go to Step 10. If no, go to Step 11. 6. Run the display y1731 threshold-info singleloss-localratio md <md-name> ma <ma-name> mep-id <mep-id> [ 8021p <8021p-value> ] command to check the values of UpperLimit and LowerLimit. Check whether the upper threshold is too small. If yes, run the loss-measure single-ended local-ratio-threshold mep <mep-id> upper-limit <upper-limit> lower-limit <lower-limit> [ 8021p <8021p-value> ] command to reconfigure the upper threshold. Go to Step 10. If no, go to Step 11. 7. Run the display y1731 threshold-info singleloss-remoteratio md <md-name> ma <ma-name> mep-id <mep-id> [ 8021p <8021p-value> ] command to check the values of UpperLimit and LowerLimit. Check whether the upper threshold is too small. If yes, run the loss-measure single-ended remote-ratio-threshold mep <mep-id> upper-limit <upper-limit> lower-limit <lower-limit> [ 8021p <8021p-value> ] command to reconfigure the upper threshold. Go to Step 10. If no, go to Step 11. 8. Run the display y1731 threshold-info dualloss-localratio md <md-name> ma <ma-name> mep-id <mep-id> command to check the values of UpperLimit and LowerLimit. Check whether the upper threshold is too small. If yes, run the loss-measure dual-ended local-ratio-threshold mep <mep-id> upper-limit <upper-limit> lower-limit <lower-limit> command to reconfigure the upper threshold. Go to Step 10. If no, go to Step 11. 9. Run the display y1731 threshold-info dualloss-localratio md <md-name> ma <ma-name> mep-id <mep-id> command to check the values of UpperLimit and LowerLimit. Check whether the upper threshold is too small. If yes, run the loss-measure dual-ended local-ratio-threshold mep <mep-id> upper-limit <upper-limit> lower-limit <lower-limit> command to reconfigure the upper threshold. Go to Step 10. If no, go to Step 11. 10. Run the display alarm active command in the system view to check whether the alarm is cleared. If not, go to Step 11. 11. Collect alarm and configuration information, and contact technical support personnel. 12. End.",MdIndex::Index of an MD table | MaIndex::Index of an MA table | MepID::MEG ID | Type::Alarm type | MAC::MAC address | Priority::Priority of performance measurement | MdName::Name of an MD | MaName::Name of an MA | Value::Statistic value | UpperLimitThreshold::Upper threshold | LowerLimitThreshold::Lower threshold | ValueHigh::32 most significant bits | ValueLow::32 least significant bits
dc,0x00F10202,hwVplsPwHqosNotSupportTunnelAlarm,Warning,qualityOfServiceAlarm,Clear,hwVplsPwHqosNotSupportTunnelAlarm,1.3.6.1.4.1.2011.5.25.42.2.1.7.52,hwVplsPwHqosNotSupportTunnelAlarm,"VPLS PW HQoS services are supported on the public network tunnel. (VsiName=[hwNotSupportTunnelVSIName], RemoteIp=[hwPWPeerRemoteIp], PwId=[hwNotSupportTunnelPwId], TunnelType=[hwNotSupportTunnelType])",There is no impact on the system.,Cause 1: VPLS PW HQoS services are supported on the public network tunnel. Cause 2: VPLS PW HQoS services are supported on the public network tunnel. Cause 3: VPLS PW HQoS services are supported on the public network tunnel. Cause 4: VPLS PW HQoS services are supported on the public network tunnel. Cause 5: VPLS PW HQoS services are supported on the public network tunnel. Cause 6: VPLS PW HQoS services are supported on the public network tunnel.,,hwNotSupportTunnelVSIName::Name of a VSI. | hwPWPeerRemoteIp::IP address of the remote peer. | hwNotSupportTunnelPwId::ID of a VPLS PW. | hwNotSupportTunnelType::Tunnel type.
dc,0x00F1015C,OSPF_ROUTE_BE_DEL_BY_PURGE_INEXACT,Major,qualityOfServiceAlarm,Clear,ospfRouteBeDeletedByPurgeInexact,1.3.6.1.4.1.2011.5.25.155.31.25,hwOspfv2RouteBeDeletedByPurgeInexact,"OSPF routes advertised by the local device were not deleted by another device. (SysProcessId=[hwOspfv2ProcessIdIndex], HostName=[hwOspfv2PurgeHostName], HostIpAddress=[hwOspfv2PurgeIpAddress], RouterID=[hwOspfv2PurgeRouterId], Area=[hwOspfv2AreaId])","The system is not affected. In the alarm, the value of FlushLsaNum may be 0. The interval at which the alarm is cleared and the interval at which the value of FlushLsaNum on the faulty node is cleared are both 3600s. There may be a short period (5 minutes at most) during which the value of FlushLsaNum on the faulty node is cleared but the alarm still persists. This is a normal situation.",The OSPF LSAs advertised by the local device were not flushed by another device.,,hwOspfv2ProcessIdIndex::Process ID on the faulty node | hwOspfv2PurgeHostName::Hostname of the faulty node | hwOspfv2PurgeIpAddress::Host IP address of the faulty node | hwOspfv2PurgeRouterId::Router ID in the process | hwOspfv2AreaId::OSPF area ID
dc,0x0F01205A,hwUhcsAlarm,Minor,communicationsAlarm,Clear,UhcsAlarm,1.3.6.1.4.1.2011.5.25.157.2.124,hwUhcsAlarm,"Uncorrectable header check sequence error is cleared! (IfIndex=[IfIndex], SlotId=[SlotId], CardId=[CardId], PortId=[PortId],InterfaceName=[InterfaceName])",Services are not affected.,The fault that caused the alarm was rectified.,,IfIndex::Interface index | SlotId::Slot ID | CardId::Card ID | PortId::Port ID | InterfaceName::Interface name
dc,0x08130019,hwFanRemove,Critical,equipmentAlarm,Clear,hwFanRemove,1.3.6.1.4.1.2011.5.25.219.2.6.2,hwFanRemove-137216,"The fan module was inserted. (EntityPhysicalIndex=[EntityPhysicalIndex],EntPhysicalIndex=[EntPhysicalIndex],EntPhysicalName=[EntityPhysicalName],EntityTrapFaultID=137216,EntityOperStatus=[EntityOperStatus]) In VS mode, this trap is supported only by the admin VS.",Services are not affected.,The fan module was installed.,,EntityPhysicalIndex::The index for this entry. | EntPhysicalIndex::The index for this entry. | EntityPhysicalName::The textual name of the physical entity. | EntityTrapFaultID::To describe the fault id of trap. | EntityOperStatus::Indicates the status of the physical entity.
dc,0x00F1008B,hwKompellaVcDown,Major,communicationsAlarm,Raise,hwKompellaVcDown,1.3.6.1.4.1.2011.5.25.119.2.2.1,hwKompellaVcUp,"The status of the Kompella VC turned DOWN. (VcVpnName=[VcVpnName], CeId=[CeId], InterfaceIndex=[InterfaceIndex], RemoteCeId=[RemoteCeId], SecondaryVc=[SecondaryVc], HWL2VpnStateChangeReason=[HWL2VpnStateChangeReason], PeerAddress=[PeerAddress], TunnelPolicyName=[TunnelPolicyIndex], ActiveState=[ActiveState]) A BGP VC went Down.",Services will be interrupted.,Cause 1: Invalid reason type. Cause 3: Local  VC Deleted. Cause 24: Tunnel was Down. Cause 26: Remote VC Deleted. Cause 43: BFD for pw status changed to Down. Cause 47: Manual set was enabled. Cause 94: PW or AC token exceed.,"Cause 1: Invalid reason type. 1. Collect alarm information and configuration information, and then contact technical support personnel. Cause 3: Local  VC Deleted. 1. Check whether the VPWS connection needs to be deleted. If the VPWS connection needs to be deleted, go to Step 4. If the VPWS connection does not need to be deleted, go to Step 2. 2. Run the connection command to re-establish the VPWS connection. Then, check whether the alarm is cleared. If the alarm is cleared, go to Step 4. If the alarm persists, go to Step 3. 3. Collect alarm information and configuration information, and then contact technical support personnel. 4. End. Cause 24: Tunnel was Down. 1. Run the display mpls l2vpn connection interface <interface-type> <interface-number> command to check whether the PW has a tunnel ID. If the tunnel ID exists, go to Step 3. If the tunnel ID does not exist, go to Step 2. 2. Check whether the public network interface is Down. If it is Down, bring it Up and then run the display tunnel-info all command to check the tunnel status. After the tunnel goes Up, check whether the alarm is cleared. If the alarm is cleared, go to Step 4. If the alarm persists, go to Step 3. 3. Collect alarm information and configuration information, and then contact technical support personnel. 4. End. Cause 26: Remote VC Deleted. 1. Check whether the VPWS connection needs to be deleted. If the VPWS connection needs to be deleted, go to Step 4. If the VPWS connection does not need to be deleted, go to Step 2. 2. Run the connection command to re-establish the VPWS connection. Then, check whether the alarm is cleared. If the alarm is cleared, go to Step 4. If the alarm persists, go to Step 3. 3. Collect alarm information and configuration information, and then contact technical support personnel. 4. End. Cause 43: BFD for pw status changed to Down. 1. Perform the troubleshooting operations described in hwBfdSessDown to rectify the fault. Then, check whether the alarm is cleared. If the alarm is cleared, go to Step 3. If the alarm persists, go to Step 2. 2. Collect alarm information and configuration information, and then contact technical support personnel. 3. End. Cause 47: Manual set was enabled. 1. Run the display this command on the AC interface to check whether the manual-set pw-ac-fault configuration exists. If the configuration exists, go to Step 2. If the configuration does not exist, go to Step 3. 2. Run the undo manual-set pw-ac-fault command to delete the configuration and then check whether the alarm is cleared. If the alarm is cleared, go to Step 4. If the alarm persists, go to Step 3. 3. Collect alarm information and configuration information, and then contact technical support personnel. 4. End. Cause 94: PW or AC token exceed. 1. Collect alarm information and configuration information, and then contact technical support personnel.",VcVpnName::MPLS L2VPN instance name | CeId::ID of the local CE | InterfaceIndex::Index of an AC interface | RemoteCeId::ID of the remote CE | SecondaryVc::Secondary VC | HWL2VpnStateChangeReason::Reason of the VC status change | PeerAddress::Peer IP address of the PW | TunnelPolicyIndex::Name of the tunnel policy used by the PW | ActiveState::PW forwarding status
dc,0x00F1050E,hwVirtualEthernetChipMismatchResume,Major,processingErrorAlarm,Clear,hwVirtualEthernetChipMismatch,1.3.6.1.4.1.2011.5.25.41.4.67,hwVirtualEthernetChipMismatchAlarm,"The number of the module where the virtual Ethernet port is located is the same as the number of the module where the internal binding channel port is located. (PortName=[InterfaceName], PortIndex=[IfIndex]) In VS mode, this trap is supported only by the admin VS.",There is no impact on the system.,This Virtual-Ethernet Interface configuration has been deleted.,,InterfaceName::Name of the interface. | IfIndex::Interface index
dc,0x00F102D0,hwMgmdIfThresholdExceed,Warning,qualityOfServiceAlarm,Raise,hwMgmdIfThresholdExceed,1.3.6.1.4.1.2011.5.25.149.3.3.22,hwMgmdIfThresholdExceedClear,"The number of IGMP or MLD entries on the interface reached the upper threshold. (AddressFamily=[AddressFamily], Ifindex=[IfIndex], CurrentCount=[CurrentCount], ThresholdCount=[ThresholdCount], Ifname=[IfName], InstanceName=[InstanceName]) The number of IGMP/MLD entries on the interface reached the upper threshold.","When the alarm is generated, new entries can still be created, but the specified limit may be reached.",Cause 1: Entry create Cause 2: Configuration change,"Cause 1: Entry create 1. Run the display igmp interface command to check whether the value of igmp access-limit is set to a small number. If the value of igmp access-limit is set to a small number, go to Step 2. If the value of igmp access-limit is not set to a small number, go to Step 3. 2. Run the igmp access-limit command to adjust the entry limit and check whether the fault is rectified. If the fault is rectified, go to Step 4. If the fault is not rectified, go to Step 3. 3. Collect alarm information and configuration information, and then contact technical support personnel. 4. End. Cause 2: Configuration change The same as Cause 1.","AddressFamily::Address family: 1: IPv4 family. 2: IPv6 family. | IfIndex::interface index. | CurrentCount::Number of IGMP/MLD entries on the current interface. The IGMP/MLD entries that are newly added are not included. | ThresholdCount::Threshold at which the alarm is generated . | IfName::Name of the interface. | InstanceName::Instance of which the number of created (S, G) entries on the device reaches the specified limit."
dc,0x00F100DE,ospfImptNssaLsaMaxExceed,Major,qualityOfServiceAlarm,Clear,ospfImptNssaLsaMaxExceed,1.3.6.1.4.1.2011.5.25.155.31.14,hwOspfv2ImportNssaRouteExceed,"The number of NSSA LSAs generated when an OSPF process imports external routes has been less than the maximum number. (hwOspfv2ProcessIdIndex=[hwOspfv2ProcessIdIndex], hwOspfv2AreaId=[hwOspfv2AreaId], hwOspfv2MaxLimit=[hwOspfv2MaxLimit])",The system is not affected.,The number of NSSA LSAs generated when an OSPF process imported external routes fell below 90% of the maximum number allowed.,"This trap message is informational only, and no action is required.",hwOspfv2ProcessIdIndex::Indicates the OSPF process ID. | hwOspfv2AreaId::Indicates the ID of an OSPF area. | hwOspfv2MaxLimit::Indicates the maximum value for the number of NSSA LSAs generated when an OSPF process imports external routes.
dc,0x00F1FEC9,hwSrPolicyPathMTUTooLarge,Major,communicationsAlarm,Clear,hwSrPolicyPathMTUTooLarge,1.3.6.1.4.1.2011.5.25.359.2.16,hwSrPolicyPathMTUTooLarge,"The alarm indicating that the specified path MTU of an SR Policy is greater than the detected minimum path MTU was cleared. (hwSrPolicyEndpoint=[SrPolicyEndpoint], hwSrPolicyColor=[SrPolicyColor], hwSrListId=[SegmetListId], hwSpecifiedPathMTU=[SpecifiedPathMTU], hwDetectedMinMTU=[DetectedMinMTU], hwReplyNodeAddress=[ReplyNodeAddress])",There is no impact on the system.,The specified path MTU of an SR Policy falls below or equals the detected minimum path MTU.,,SrPolicyEndpoint::Endpoint of an SR Policy. | SrPolicyColor::Color of an SR Policy. | SegmetListId::SR Policy candidate path segment list ID. | SpecifiedPathMTU::Specified MTU value. | DetectedMinMTU::Minimum path MTU that is detected. | ReplyNodeAddress::Reply node address.
dc,0x0CA42011,IFIT_DYNFLOW_MIDEGRESS_REACH_THRESHOLD,Warning,processingErrorAlarm,Raise,IFIT_DYNFLOW_MIDEGRESS_REACH_THRESHOLD,1.3.6.1.4.1.2011.5.25.364.2.7.1,hwIfitDynFlowMidEgressNumAlmostExceedResume,"The number of IFIT dynamic midegress flows reaches 90 percent of the upper limit. (UpperLimit=[UpperLimit]) The number of dynamic flows for which the IFIT-enabled device functions as the transit or egress node reached 90% of the upper limit. In VS mode, this trap is supported only by the admin VS.",The system will not be affected.,The IFIT total number of dynamic-hop flows reaches 90% of the upper limit.,"1. On the NMS, check whether the number of dynamic flows for which the IFIT-enabled device functions as the transit or egress node reached 90% of the upper limit. Delete excess dynamic flows for which the IFIT-enabled device functions as the transit or egress node so that the number of such dynamic flows falls below 80% of the upper limit. Then check whether the alarm is cleared. 2. If the alarm persists, contact technical support engineers.",UpperLimit::Upper limit for the number of dynamic flows for which the IFIT-enabled device functions as the transit or egress node
dc,0x09AF2078,hwClockFMSwitchResume,Warning,equipmentAlarm,Clear,hwClockFMSwitch,1.3.6.1.4.1.2011.5.25.186.1.8.33,hwClockFMSwitch,"Clock select mode is automative. (hwClockChassisId=[hwClockChassisId], hwClockPllId=[hwClockPllId]) In VS mode, this trap is supported only by the admin VS.",There is no impact on the system.,The clock source selection mode was switched back to the automatic mode.,,hwClockChassisId::ID of the chassis where the clock source is located. | hwClockPllId::PLL ID. system(1). sync2M1(2). sync2M2(3).
dc,0x00F1050C,hwGtlCloudServerOfflineLocked,Major,communicationsAlarm,Raise,hwGtlCloudServerOfflineLocked,1.3.6.1.4.1.2011.5.25.142.2.54,hwGtlCloudServerOfflineLockedCleared,"The device has been disconnected from the cloud license local server for more than 60 days, and the license on the device is locked. If the connection between the device and cloud license server is torn down for more than 60 days, the device license is locked. The available license resources on the device will be restricted. In VS mode, this trap is supported only by the admin VS.",The available license resources on the device are restricted.,The device has been disconnected from the cloud license local server for more than 60 days.,"Perform the following steps to check the configurations of the device and cloud license local server to ensure that the device can properly connect to the cloud license local server. 1. Check whether the link between the device and cloud license local server is normal. Run the ping x.x.x.x command in the user view to check whether the link is normal. In the command, x.x.x.x indicates the IP address of the cloud license local server. If the cloud license local server is bound to a VPN, you need to add the VPN parameter when running the command. 2. Check whether the SSL certificate on the device is within the validity period. Run the display ssl policy command in the user view to check whether the SSL certificate bound to the cloud license local server is within the validity period.",
dc,0x0F01207B,hwCollisionAlarm,Major,qualityOfServiceAlarm,Raise,hwCollisionAlarm,1.3.6.1.4.1.2011.5.25.157.2.237,hwCollisionAlarmResume,"The link encountered a collision. (PhyIfIndex=[PhyIfIndex], ScadaGroupId=[ScadaGroupId], InterfaceName=[InterfaceName]) The link encountered a collision.",The local system will not be affected.,All downstream remote terminal units (RTUs) sent data at the same time.,"1.Check whether all downstream RTUs sent data at the same time. If the downstream RTUs sent data at the same time, troubleshoot this problem, go to Step 3. If the downstream RTUs did not send data at the same time, go to Step 2. 2.Collect alarm information, log information and configuration information, and then contact technical support personnel. 3.End.",PhyIfIndex::Interface index | ScadaGroupId::SCADA group ID | InterfaceName::Name of an interface
dc,0x00F1001B,hwCGNUserTableExhaustAlarm,Major,communicationsAlarm,Clear,hwCGNUserTableExhaustAlarm,1.3.6.1.4.1.2011.5.25.240.2.37,hwCGNUserTableExhaustAlarm,"User tables have been released. (UserTableNum=[UserTableNum],Slot=[Slot], Cpu=[Cpu]) In VS mode, this trap is supported only by the admin VS.",There is no impact on the system.,The number of used user tables fell to 87.5% of the maximum number of user tables on a CGN device.,,UserTableNum::Number of user tables. | Slot::Slot ID of a service board. | Cpu::CPU ID of a service board.
dc,0x00F102B4,hwEvpnMacDupVpnAlarm,Major,qualityOfServiceAlarm,Raise,hwEvpnMACDupSuppressAlarm,1.3.6.1.4.1.2011.5.25.356.1.1.2.1,hwEvpnMacDupVpnAlarmClear,"MAC addresses were suppressed in an EVPN instance due to frequent MAC duplication. (EVPNInstanceName=[EVPNInstanceName], TAG=[TAG], MAC=[MAC], InterfaceName1=[InterfaceName1], InterfaceName2=[InterfaceName2], InterfaceName3=[InterfaceName3], InterfaceName4=[InterfaceName4], IPAddress1=[IPAddress1], IPAddress2=[IPAddress2], IPAddress3=[IPAddress3], IPAddress4=[IPAddress4], VcId=[VcId], EvplInstId1=[EvplInstId1], EvplInstId2=[EvplInstId2], EvplInstId3=[EvplInstId3], EvplInstId4=[EvplInstId4]) MAC routes were suppressed in an EVPN instance due to frequent MAC duplication.",Traffic related to the suppressed MAC routes will be discarded.,"A loop occurred on the EVPN, or devices or hosts with duplicate MAC addresses existed on the EVPN.","1. Run the display evpn vpn-instance name <vpn-instance-name> mac-duplication [ bridge-domain <bd-id> ] [ mac-address <mac-address> ] command to query information about MAC duplication suppression and suppressed MAC routes. Check the network based on the command output. Remove the link that causes the loop or set a new MAC address for the device with the same MAC address to ensure that no loop occurs or no device or host with the same MAC address exists on the network. If the alarm persists, go to Step 2. If the alarm is cleared and you want to restore the suppressed MAC routes immediately instead of waiting for the suppression recovery timer to expire, run the reset evpn vpn-instance <vpn-instance-name> mac-duplication [ bridge-domain <bd-id> ] [ mac-address <mac-address> ] command to clear the suppression state of the MAC routes. 2. Collect alarm and configuration information, and contact technical support personnel. 3. End.","EVPNInstanceName::EVPN instance name. | TAG::Tag ID. | MAC::Indicates the MAC address with duplication suppression occurs. | InterfaceName1::Name of interface 1 involved in the duplication suppression period. If no interface exists, a hyphen (-) is displayed. | InterfaceName2::Name of interface 2 involved in the duplication suppression period. If no interface exists, a hyphen (-) is displayed. | InterfaceName3::Name of interface 3 involved in the duplication suppression period. If no interface exists, a hyphen (-) is displayed. | InterfaceName4::Name of interface 4 involved in the duplication suppression period. If no interface exists, a hyphen (-) is displayed. | IPAddress1::IP address 1 of the peer involved in the duplication suppression period. If the peer does not exist, 0.0.0.0 is displayed. | IPAddress2::IP address 2 of the peer involved in the duplication suppression period. If the peer does not exist, 0.0.0.0 is displayed. | IPAddress3::IP address 3 of the peer involved in the duplication suppression period. If the peer does not exist, 0.0.0.0 is displayed. | IPAddress4::IP address 4 of the peer involved in the duplication suppression period. If the peer does not exist, 0.0.0.0 is displayed. | VcId::VC ID in PW stitching scenarios. If stitching does not exist, 0 is displayed. | EvplInstId1::EVPL instance ID 1 involved in the migration suppression period. If the EVPL instance does not exist, 0 is displayed. | EvplInstId2::EVPL instance ID 2 involved in the migration suppression period. If the EVPL instance does not exist, 0 is displayed. | EvplInstId3::EVPL instance ID 3 involved in the migration suppression period. If the EVPL instance does not exist, 0 is displayed. | EvplInstId4::EVPL instance ID 4 involved in the migration suppression period. If the EVPL instance does not exist, 0 is displayed."
dc,0x0F012018,hwCesPwRemoteLosPktAlarm,Major,qualityOfServiceAlarm,Clear,hwCesPwRemoteLosPktAlarm,1.3.6.1.4.1.2011.5.25.157.2.6,hwCesPwRemoteLosPktAlarm,"Remote packet loss alarm of PWE3 was resumed. (IfIndex=[IfIndex], VcId=[VcId], VcType=[VcType], PeerAddress=[PeerAddress], InterfaceName=[InterfaceName])",Services are not affected.,The R-bit control word was set to 0 for remote service packets because the number of consecutively lost packets on the remote device was less than the clearance threshold.,,IfIndex::interface index. | VcId::VcId. | VcType::VcType. | PeerAddress::Peer Address. | InterfaceName::Interface Name.
